islet_id,imageid,donor_status
6538_Islet_62,6538,Aab+
6538_Islet_118,6538,Aab+
6505_Islet_16,6505,Aab+
6521_Islet_156,6521,Aab+
6551_Islet_110,6551,T1D
6534_Islet_24,6534,T1D
6534_Islet_46,6534,T1D
6538_Islet_200,6538,Aab+
6534_Islet_4,6534,T1D
6450_Islet_2,6450,Aab+
6450_Islet_111,6450,Aab+
6479_Islet_198,6479,ND
6521_Islet_191,6521,Aab+
6549_Islet_183,6549,Aab+
6505_Islet_316,6505,Aab+
6521_Islet_5,6521,Aab+
6551_Islet_285,6551,T1D
6549_Islet_209,6549,Aab+
6505_Islet_122,6505,Aab+
6521_Islet_189,6521,Aab+
6549_Islet_177,6549,Aab+
6548_Islet_45,6548,ND
6534_Islet_108,6534,T1D
6521_Islet_59,6521,Aab+
6521_Islet_188,6521,Aab+
6534_Islet_23,6534,T1D
6534_Islet_63,6534,T1D
6551_Islet_223,6551,T1D
6551_Islet_131,6551,T1D
6450_Islet_237,6450,Aab+
6505_Islet_1,6505,Aab+
6521_Islet_171,6521,Aab+
6479_Islet_126,6479,ND
6521_Islet_62,6521,Aab+
6521_Islet_11,6521,Aab+
6548_Islet_3,6548,ND
6563_Islet_100,6563,T1D
6534_Islet_53,6534,T1D
6538_Islet_205,6538,Aab+
6450_Islet_354,6450,Aab+
6551_Islet_135,6551,T1D
6551_Islet_53,6551,T1D
6450_Islet_167,6450,Aab+
6505_Islet_430,6505,Aab+
6505_Islet_140,6505,Aab+
6521_Islet_2,6521,Aab+
6548_Islet_57,6548,ND
6563_Islet_80,6563,T1D
6550_Islet_20,6550,T1D
6521_Islet_111,6521,Aab+
6505_Islet_84,6505,Aab+
6450_Islet_381,6450,Aab+
6538_Islet_117,6538,Aab+
6450_Islet_278,6450,Aab+
6479_Islet_176,6479,ND
6479_Islet_193,6479,ND
6538_Islet_170,6538,Aab+
6450_Islet_267,6450,Aab+
6521_Islet_84,6521,Aab+
6505_Islet_135,6505,Aab+
6516_Islet_14,6516,ND
6563_Islet_77,6563,T1D
6551_Islet_65,6551,T1D
6505_Islet_180,6505,Aab+
6563_Islet_133,6563,T1D
6550_Islet_18,6550,T1D
6505_Islet_224,6505,Aab+
6505_Islet_124,6505,Aab+
6521_Islet_105,6521,Aab+
6516_Islet_80,6516,ND
6549_Islet_270,6549,Aab+
6563_Islet_231,6563,T1D
6450_Islet_320,6450,Aab+
6549_Islet_307,6549,Aab+
6521_Islet_54,6521,Aab+
6505_Islet_189,6505,Aab+
6505_Islet_424,6505,Aab+
6534_Islet_150,6534,T1D
6450_Islet_61,6450,Aab+
6549_Islet_139,6549,Aab+
112_Islet_100,112,ND
6548_Islet_74,6548,ND
6516_Islet_204,6516,ND
6563_Islet_187,6563,T1D
6505_Islet_284,6505,Aab+
6521_Islet_153,6521,Aab+
6563_Islet_203,6563,T1D
6505_Islet_73,6505,Aab+
6505_Islet_93,6505,Aab+
6551_Islet_331,6551,T1D
6505_Islet_264,6505,Aab+
112_Islet_270,112,ND
6505_Islet_44,6505,Aab+
6479_Islet_91,6479,ND
6356_Islet_865,6356,ND
6551_Islet_113,6551,T1D
6450_Islet_213,6450,Aab+
6516_Islet_237,6516,ND
6516_Islet_24,6516,ND
6549_Islet_349,6549,Aab+
6356_Islet_257,6356,ND
6516_Islet_2,6516,ND
6479_Islet_277,6479,ND
6521_Islet_101,6521,Aab+
6479_Islet_143,6479,ND
6450_Islet_405,6450,Aab+
112_Islet_314,112,ND
6516_Islet_301,6516,ND
6356_Islet_255,6356,ND
6516_Islet_298,6516,ND
6505_Islet_80,6505,Aab+
6505_Islet_220,6505,Aab+
6356_Islet_816,6356,ND
112_Islet_105,112,ND
112_Islet_34,112,ND
6534_Islet_193,6534,T1D
6534_Islet_184,6534,T1D
6521_Islet_200,6521,Aab+
6356_Islet_137,6356,ND
6549_Islet_283,6549,Aab+
6521_Islet_176,6521,Aab+
6534_Islet_247,6534,T1D
6479_Islet_211,6479,ND
6550_Islet_50,6550,T1D
6479_Islet_240,6479,ND
6479_Islet_106,6479,ND
112_Islet_491,112,ND
6450_Islet_410,6450,Aab+
6450_Islet_413,6450,Aab+
112_Islet_478,112,ND
112_Islet_112,112,ND
112_Islet_407,112,ND
6505_Islet_210,6505,Aab+
6356_Islet_539,6356,ND
6549_Islet_185,6549,Aab+
112_Islet_321,112,ND
112_Islet_65,112,ND
6548_Islet_104,6548,ND
112_Islet_604,112,ND
6479_Islet_59,6479,ND
6538_Islet_100,6538,Aab+
6450_Islet_190,6450,Aab+
6534_Islet_10,6534,T1D
6551_Islet_12,6551,T1D
112_Islet_64,112,ND
6549_Islet_156,6549,Aab+
112_Islet_417,112,ND
6534_Islet_20,6534,T1D
6534_Islet_42,6534,T1D
6479_Islet_170,6479,ND
6549_Islet_108,6549,Aab+
6521_Islet_27,6521,Aab+
112_Islet_360,112,ND
6505_Islet_257,6505,Aab+
6450_Islet_421,6450,Aab+
6549_Islet_341,6549,Aab+
6450_Islet_96,6450,Aab+
112_Islet_374,112,ND
6534_Islet_111,6534,T1D
6534_Islet_88,6534,T1D
6549_Islet_13,6549,Aab+
6505_Islet_153,6505,Aab+
6505_Islet_100,6505,Aab+
6538_Islet_46,6538,Aab+
6505_Islet_315,6505,Aab+
112_Islet_87,112,ND
6534_Islet_148,6534,T1D
6479_Islet_195,6479,ND
6356_Islet_17,6356,ND
6516_Islet_135,6516,ND
6479_Islet_214,6479,ND
6356_Islet_203,6356,ND
112_Islet_452,112,ND
6563_Islet_244,6563,T1D
6356_Islet_826,6356,ND
6505_Islet_118,6505,Aab+
6550_Islet_23,6550,T1D
6450_Islet_236,6450,Aab+
6521_Islet_144,6521,Aab+
6563_Islet_75,6563,T1D
6356_Islet_534,6356,ND
6450_Islet_305,6450,Aab+
6550_Islet_141,6550,T1D
6516_Islet_241,6516,ND
6356_Islet_867,6356,ND
6450_Islet_166,6450,Aab+
6534_Islet_263,6534,T1D
112_Islet_296,112,ND
112_Islet_404,112,ND
6549_Islet_187,6549,Aab+
6549_Islet_294,6549,Aab+
6521_Islet_42,6521,Aab+
6521_Islet_87,6521,Aab+
112_Islet_176,112,ND
6505_Islet_263,6505,Aab+
6538_Islet_73,6538,Aab+
112_Islet_540,112,ND
112_Islet_502,112,ND
6356_Islet_188,6356,ND
6356_Islet_495,6356,ND
6521_Islet_109,6521,Aab+
6549_Islet_142,6549,Aab+
112_Islet_58,112,ND
112_Islet_541,112,ND
6534_Islet_36,6534,T1D
6516_Islet_67,6516,ND
112_Islet_220,112,ND
6356_Islet_843,6356,ND
6549_Islet_114,6549,Aab+
6534_Islet_258,6534,T1D
6550_Islet_59,6550,T1D
112_Islet_200,112,ND
6356_Islet_738,6356,ND
6356_Islet_934,6356,ND
6521_Islet_63,6521,Aab+
6505_Islet_345,6505,Aab+
6563_Islet_78,6563,T1D
6450_Islet_370,6450,Aab+
6551_Islet_175,6551,T1D
6356_Islet_578,6356,ND
6563_Islet_197,6563,T1D
6505_Islet_78,6505,Aab+
112_Islet_499,112,ND
112_Islet_129,112,ND
6521_Islet_6,6521,Aab+
6538_Islet_143,6538,Aab+
6534_Islet_203,6534,T1D
6450_Islet_423,6450,Aab+
6450_Islet_6,6450,Aab+
112_Islet_352,112,ND
6534_Islet_240,6534,T1D
6534_Islet_147,6534,T1D
6479_Islet_222,6479,ND
6534_Islet_287,6534,T1D
6516_Islet_183,6516,ND
112_Islet_345,112,ND
6356_Islet_612,6356,ND
6356_Islet_571,6356,ND
6479_Islet_102,6479,ND
6563_Islet_209,6563,T1D
6538_Islet_188,6538,Aab+
112_Islet_9,112,ND
6479_Islet_69,6479,ND
6356_Islet_162,6356,ND
6479_Islet_66,6479,ND
6538_Islet_180,6538,Aab+
6549_Islet_117,6549,Aab+
6549_Islet_112,6549,Aab+
6550_Islet_95,6550,T1D
112_Islet_400,112,ND
6516_Islet_310,6516,ND
6551_Islet_74,6551,T1D
112_Islet_84,112,ND
6505_Islet_123,6505,Aab+
