,,CD99,INS,GCG,SST,SMA,CD20,CD3e,CD68,CD163,CD8,CD4,HLA-DR,Podoplanin,CD34,CD31,B3TUBB,CD56
all,Smooth Muscle,,allneg,allneg,allneg,anypos,allneg,allneg,allneg,allneg,allneg,allneg,allneg,,,,,
,,,,,,,,,,,,,,,,,,
all,Neural,,,,,allneg,allneg,allneg,allneg,allneg,allneg,allneg,allneg,,,,anypos,anypos
,,,,,,,,,,,,,,,,,,
all,Immune,,allneg,allneg,allneg,,anypos,anypos,anypos,anypos,anypos,anypos,anypos,,,,,
Immune,B cell,,,,,allneg,pos,allneg,allneg,allneg,allneg,allneg,,,,,,
Immune,Macrophage,,,,,allneg,allneg,allneg,anypos,anypos,,,,,,,,
Immune,Dendritic cell,,,,,allneg,allneg,allneg,allneg,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Immune,T cell,,,,,allneg,allneg,pos,allneg,allneg,,,,,,,,
T cell,CD8 T cell,,,,,,,,,,,pos,allneg,,,,,
T cell,CD4 T cell,,,,,,,,,,,,allneg,pos,,,,
,,,,,,,,,,,,,,,,,,
all,Endocrine,anypos,anypos,anypos,anypos,,allneg,allneg,allneg,allneg,allneg,allneg,allneg,,,,,
Endocrine,Beta cell,,pos,,,,,,,,,,,,,,,
Endocrine,Alpha cell,,,pos,,,,,,,,,,,,,,
Endocrine,Delta cell,,,,pos,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
all,Exocrine,,allneg,allneg,allneg,,allneg,allneg,,,allneg,allneg,,,,,,
Exocrine,Ductal,,allneg,allneg,allneg,,,,,,,,,,,,,
Exocrine,Acinar,,allneg,allneg,allneg,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
all,Endothelial,,,,,,allneg,allneg,allneg,allneg,allneg,allneg,,anypos,anypos,anypos,,
Endothelial,Lymphatic,,,,,,,,,,,,,anypos,,,,
Endothelial,Blood vessel,,,,,,,,,,,,,,anypos,,,
